"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.0032162,2.3034,-1.366,5.0,0.0,8.0,2.678,522506284.0
0.0090934,6.5127,-1.07,2.0,1.0,8.0,6.6,522506284.0
0.0034011,2.4358,-1.3686,3.0,2.0,8.0,2.794,522506284.0
0.0098336,7.0428,-0.9898,80.0,3.0,8.0,7.112,522506284.0
0.0035727,2.5588,-1.3605,3.0,4.0,8.0,2.898,522506284.0
0.0098491,7.0539,-0.8249,51.0,5.0,8.0,7.102,522506284.0
0.0037806,2.7076,-1.36,4.0,6.0,8.0,3.03,522506284.0
0.0098511,7.0554,-0.65823,76.0,7.0,8.0,7.086,522506284.0
0.0040334,2.8887,-1.3673,3.0,8.0,8.0,3.196,522506284.0
0.0098392,7.0468,-0.49276,69.0,9.0,8.0,7.064,522506284.0
0.0043088,3.086,-1.374,6.0,10.0,8.0,3.378,522506284.0
0.0098218,7.0343,-0.32804,86.0,11.0,8.0,7.042,522506284.0
0.0046021,3.296,-1.3767,7.0,12.0,8.0,3.572,522506284.0
0.0098354,7.0441,-0.16354,102.0,13.0,8.0,7.046,522506284.0
0.0049189,3.5229,-1.3757,3.0,14.0,8.0,3.782,522506284.0
0.0098437,7.05,0.0,66.0,15.0,8.0,7.05,522506284.0
0.0052561,3.7644,-1.3701,6.0,16.0,8.0,4.006,522506284.0
0.0098578,7.0601,0.16391,87.0,17.0,8.0,7.062,522506284.0
0.0056827,4.0699,-1.3752,4.0,18.0,8.0,4.296,522506284.0
0.009833,7.0423,0.32841,76.0,19.0,8.0,7.05,522506284.0
0.0061606,4.4122,-1.3768,7.0,20.0,8.0,4.622,522506284.0
0.0098364,7.0448,0.49262,48.0,21.0,8.0,7.062,522506284.0
0.0067323,4.8217,-1.3826,4.0,22.0,8.0,5.016,522506284.0
0.0098484,7.0534,0.65805,75.0,23.0,8.0,7.084,522506284.0
0.0073427,5.2588,-1.3767,7.0,24.0,8.0,5.436,522506284.0
0.0098602,7.0619,0.82583,83.0,25.0,8.0,7.11,522506284.0
0.0081057,5.8053,-1.3755,2.0,26.0,8.0,5.966,522506284.0
0.0098474,7.0527,0.99119,82.0,27.0,8.0,7.122,522506284.0
0.0090413,6.4753,-1.3764,7.0,28.0,8.0,6.62,522506284.0
0.0098292,7.0396,1.1566,80.0,29.0,8.0,7.134,522506284.0
0.0098326,7.0421,-1.3268,75.0,30.0,8.0,7.166,522506284.0
0.0098354,7.0441,1.3272,75.0,31.0,8.0,7.168,522506284.0
0.010445,2.3017,-1.365,6.0,0.0,26.0,2.676,522506284.0
0.029562,6.5146,-1.0703,1.0,1.0,26.0,6.602,522506284.0
0.011069,2.4393,-1.3706,3.0,2.0,26.0,2.798,522506284.0
0.031905,7.0308,-0.98813,80.0,3.0,26.0,7.1,522506284.0
0.011627,2.5623,-1.3624,3.0,4.0,26.0,2.902,522506284.0
0.031947,7.04,-0.82328,55.0,5.0,26.0,7.088,522506284.0
0.012279,2.7058,-1.3591,4.0,6.0,26.0,3.028,522506284.0
0.031962,7.0433,-0.65712,76.0,7.0,26.0,7.074,522506284.0
0.013117,2.8905,-1.3682,3.0,8.0,26.0,3.198,522506284.0
0.031932,7.0367,-0.49206,69.0,9.0,26.0,7.054,522506284.0
0.01402,3.0896,-1.3756,6.0,10.0,26.0,3.382,522506284.0
0.031875,7.0243,-0.32757,86.0,11.0,26.0,7.032,522506284.0
0.014965,3.2978,-1.3775,8.0,12.0,26.0,3.574,522506284.0
0.03192,7.034,-0.16331,103.0,13.0,26.0,7.036,522506284.0
0.015927,3.5099,-1.3706,3.0,14.0,26.0,3.768,522506284.0
0.031892,7.0279,0.0,60.0,15.0,26.0,7.028,522506284.0
0.017099,3.7681,-1.3715,7.0,16.0,26.0,4.01,522506284.0
0.03201,7.054,0.16378,86.0,17.0,26.0,7.056,522506284.0
0.018452,4.0661,-1.3739,4.0,18.0,26.0,4.292,522506284.0
0.031903,7.0303,0.32785,79.0,19.0,26.0,7.038,522506284.0
0.019987,4.4045,-1.3744,6.0,20.0,26.0,4.614,522506284.0
0.031932,7.0367,0.49206,51.0,21.0,26.0,7.054,522506284.0
0.021898,4.8255,-1.3837,3.0,22.0,26.0,5.02,522506284.0
0.03198,7.0473,0.65749,77.0,23.0,26.0,7.078,522506284.0
0.023881,5.2626,-1.3777,7.0,24.0,26.0,5.44,522506284.0
0.03201,7.0539,0.8249,82.0,25.0,26.0,7.102,522506284.0
0.026308,5.7974,-1.3737,2.0,26.0,26.0,5.958,522506284.0
0.031959,7.0427,0.9898,82.0,27.0,26.0,7.112,522506284.0
0.029322,6.4616,-1.3735,6.0,28.0,26.0,6.606,522506284.0
0.031927,7.0356,1.1559,80.0,29.0,26.0,7.13,522506284.0
0.031911,7.0322,-1.3249,70.0,30.0,26.0,7.156,522506284.0
0.031911,7.0322,1.3249,75.0,31.0,26.0,7.156,522506284.0
0.017274,2.3016,-1.365,5.0,0.0,43.0,2.676,522506284.0
0.048743,6.4947,-1.0671,2.0,1.0,43.0,6.582,522506284.0
0.018307,2.4393,-1.3706,3.0,2.0,43.0,2.798,522506284.0
0.052662,7.0168,-0.98618,80.0,3.0,43.0,7.086,522506284.0
0.019203,2.5587,-1.3605,3.0,4.0,43.0,2.898,522506284.0
0.05279,7.0339,-0.82258,46.0,5.0,43.0,7.082,522506284.0
0.020414,2.7201,-1.3663,5.0,6.0,43.0,3.044,522506284.0
0.052815,7.0372,-0.65656,68.0,7.0,43.0,7.068,522506284.0
0.021693,2.8905,-1.3682,3.0,8.0,43.0,3.198,522506284.0
0.05275,7.0286,-0.4915,60.0,9.0,43.0,7.046,522506284.0
0.023105,3.0786,-1.3707,5.0,10.0,43.0,3.37,522506284.0
0.052642,7.0142,-0.32711,67.0,11.0,43.0,7.022,522506284.0
0.024695,3.2904,-1.3744,7.0,12.0,43.0,3.566,522506284.0
0.05276,7.0299,-0.16322,102.0,13.0,43.0,7.032,522506284.0
0.026397,3.5172,-1.3735,3.0,14.0,43.0,3.776,522506284.0
0.052714,7.0238,0.0,52.0,15.0,43.0,7.024,522506284.0
0.028251,3.7643,-1.3701,7.0,16.0,43.0,4.006,522506284.0
0.05285,7.0419,0.1635,83.0,17.0,43.0,7.044,522506284.0
0.030516,4.066,-1.3739,4.0,18.0,43.0,4.292,522506284.0
0.052732,7.0262,0.32767,69.0,19.0,43.0,7.034,522506284.0
0.033041,4.4025,-1.3738,7.0,20.0,43.0,4.612,522506284.0
0.052705,7.0227,0.49109,41.0,21.0,43.0,7.04,522506284.0
0.036215,4.8254,-1.3837,3.0,22.0,43.0,5.02,522506284.0
0.05277,7.0313,0.656,72.0,23.0,43.0,7.062,522506284.0
0.039495,5.2625,-1.3777,7.0,24.0,43.0,5.44,522506284.0
0.052894,7.0478,0.82421,82.0,25.0,43.0,7.096,522506284.0
0.043597,5.809,-1.3764,2.0,26.0,43.0,5.97,522506284.0
0.052796,7.0347,0.98869,70.0,27.0,43.0,7.104,522506284.0
0.048596,6.4752,-1.3764,6.0,28.0,43.0,6.62,522506284.0
0.052757,7.0296,1.1549,80.0,29.0,43.0,7.124,522506284.0
0.052717,7.0242,-1.3235,76.0,30.0,43.0,7.148,522506284.0
0.052732,7.0262,1.3238,71.0,31.0,43.0,7.15,522506284.0
0.023317,2.3033,-1.366,4.0,0.0,58.0,2.678,522506284.0
0.065607,6.4808,-1.0648,2.0,1.0,58.0,6.568,522506284.0
0.024675,2.4375,-1.3696,3.0,2.0,58.0,2.796,522506284.0
0.070911,7.0048,-0.98451,81.0,3.0,58.0,7.074,522506284.0
0.025973,2.5657,-1.3643,3.0,4.0,58.0,2.906,522506284.0
0.071164,7.0297,-0.82211,55.0,5.0,58.0,7.078,522506284.0
0.027372,2.7039,-1.3582,5.0,6.0,58.0,3.026,522506284.0
